crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall
Minor Pulses,13.23,8.8999996,7.0,127,2017,3,Gujarat,31633,10840,9019,Valsad,2273.600111,189.46667591666667
Minor Pulses,8.2799997,5.6799998,2.9000001,128,2017,3,Gujarat,503,107,56,Dangs,,
Minor Pulses,9.5600004,7.3600001,1.5,129,2017,3,Gujarat,46817,29139,4865,Jamnagar,690.46998,57.539165
Minor Pulses,25.290001,28.68,19.200001,130,2017,3,Gujarat,64706,33437,7048,Junagadh,0.0,
Minor Pulses,3.22,2.04,2.6289999,131,2017,3,Gujarat,128342,16619,7165,Kheda,534.837162536,44.56976354466667
Minor Pulses,3.79,2.8499999,0.5,135,2017,3,Gujarat,108519,54681,12824,Rajkot,814.130492019,67.84420766825001
Minor Pulses,22.969999,17.9,4.4000001,136,2017,3,Gujarat,81747,23767,14109,Sabarkantha,,
Minor Pulses,10.18,7.3200002,7.3000002,137,2017,3,Gujarat,80074,30311,27213,Surat,1069.6900289,89.14083574166666
Minor Pulses,3.3299999,1.96,2.0,138,2017,3,Gujarat,83525,31749,2648,Surendranagar,877.4300019998001,73.11916683331667
Minor Pulses,165.21001,116.68,0.46000001,139,2017,10,Rajasthan,10572,6290,62,Ajmer,523.70000111,43.64166675916667
Minor Pulses,0.43000001,1.02,0.41,140,2017,10,Rajasthan,37580,5713,1337,Alwar,552.47000972,46.03916747666667
Minor Pulses,14.08,12.87,3.467,141,2017,10,Rajasthan,32995,5817,500,Banswara,69.99000089,5.832500074166667
Minor Pulses,270.97,45.880001,3.5,142,2017,10,Rajasthan,12912,2366,281,Barmer,711.4000089,59.283334075
Minor Pulses,0.86000001,1.37,0.28,143,2017,10,Rajasthan,61795,20378,599,Bharatpur,482.69999052000003,40.22499921
Minor Pulses,121.88,33.77,6.6700001,144,2017,10,Rajasthan,22307,5226,239,Bhilwara,571.61000143,47.63416678583334
Minor Pulses,369.54001,141.99001,28.129999,145,2017,10,Rajasthan,22487,10645,232,Bikaner,303.1700092,25.26416743333333
Minor Pulses,149.72,96.57,5.46,146,2017,10,Rajasthan,40163,12315,382,Bundi,569.87999891,47.48999990916667
Minor Pulses,17.75,12.12,3.967,147,2017,10,Rajasthan,45171,17017,1479,Chittorgarh,601.61000613,50.1341671775
Minor Pulses,514.29999,151.27,1.08,148,2017,10,Rajasthan,8065,1810,39,Churu,373.3200021,31.110000175
Minor Pulses,12.12,9.3400002,0.16,149,2017,10,Rajasthan,6142,858,73,Dungarpur,73.7200017,6.1433334749999995
Minor Pulses,120.76,60.5,56.990002,150,2017,10,Rajasthan,137173,58094,5526,Ganganagar,464.3500098,38.69583415
Minor Pulses,141.88,72.0,9.5500002,151,2017,10,Rajasthan,60575,22655,1213,Jaipur,365.46999501,30.4558329175
Minor Pulses,59.970001,13.78,28.25,152,2017,10,Rajasthan,7838,3190,82,Jaisalmer,245.40000083,20.450000069166666
Minor Pulses,147.69,39.880001,0.079999998,153,2017,10,Rajasthan,29682,6176,1501,Jalore,1358.5100019000001,113.20916682500001
Minor Pulses,65.029999,54.73,8.6599998,154,2017,10,Rajasthan,30476,14084,346,Jhalawar,726.37000012,60.530833343333335
Minor Pulses,412.01999,237.07001,39.130001,156,2017,10,Rajasthan,35672,17058,1783,Jodhpur,272.87999803,22.739999835833334
Minor Pulses,239.87,198.14999,0.13,157,2017,10,Rajasthan,82586,36328,1863,Kota,577.93998931,48.161665775833335
Minor Pulses,698.54999,344.28,3.8499999,158,2017,10,Rajasthan,24470,13532,1394,Nagaur,366.3700035,30.530833625
Minor Pulses,297.85999,68.75,0.02,159,2017,10,Rajasthan,13748,11119,604,Pali,605.68000823,50.473334019166664
Minor Pulses,73.010002,25.42,0.23,160,2017,10,Rajasthan,39972,12592,332,Swami Madhopur,,
Minor Pulses,83.099998,36.779999,2.97,161,2017,10,Rajasthan,15594,5243,286,Sikar,333.49999611,27.791666342499997
Minor Pulses,14.2,0.63999999,0.059999999,162,2017,10,Rajasthan,14531,4303,406,Sirohi,1354.209998899,112.85083324158335
Minor Pulses,190.46001,122.58,1.98,163,2017,10,Rajasthan,22553,9945,209,Tonk,418.95999951,34.9133332925
Minor Pulses,16.379999,10.59,3.9159999,164,2017,10,Rajasthan,34494,10333,2659,Udaipur,310.54001208,25.87833434
Minor Pulses,1.6,1.6,0.34,165,2017,9,Punjab,87626,16847,2293,Gurdaspur,15.149999998,1.2624999998333333
Minor Pulses,6.0999999,4.3000002,2.3399999,166,2017,9,Punjab,137546,37153,5623,Amritsar,20.6200009996,1.7183334166333333
Minor Pulses,0.30000001,0.30000001,0.38,167,2017,9,Punjab,43368,6625,2281,Kapurthala,41.750000019,3.47916666825
Minor Pulses,0.72000003,0.72000003,0.035999998,168,2017,9,Punjab,84815,29066,4517,Jalandhar,39.559997999800004,3.2966664999833335
Minor Pulses,0.38,0.38,0.124,169,2017,9,Punjab,55772,21295,3397,Hoshiarpur,26.839999978799998,2.2366666649
Minor Pulses,1.35,0.89999998,0.41,170,2017,9,Punjab,27850,8908,2929,Roopnagar / Ropar,,
Minor Pulses,2.5899999,2.1600001,0.47799999,171,2017,9,Punjab,167082,26004,2370,Ludhiana,7.9399999988,0.6616666665666667
Minor Pulses,4.1300001,3.71,1.5549999,172,2017,9,Punjab,234282,61477,8041,Ferozpur,,
Minor Pulses,2.77,2.3900001,0.51499999,174,2017,9,Punjab,187996,33795,9297,Bhatinda,,
Minor Pulses,3.3499999,3.8299999,0.85399997,175,2017,9,Punjab,139068,36351,4210,Sangrur,2.9999999996,0.24999999996666666
Minor Pulses,2.51,1.51,0.63800001,176,2017,9,Punjab,158811,21365,6382,Patiala,11.351529706,0.9459608088333334
Minor Pulses,14.2,24.690001,3.0,177,2017,4,Haryana,294303,93574,14466,Hissar,,
Minor Pulses,1.3,17.1,2.0,180,2017,4,Haryana,86086,26452,4543,Gurgaon,,
Minor Pulses,,,,181,2017,4,Haryana,100027,22141,4945,Jind,740.450496,61.704208
Minor Pulses,1.91,16.5,1.87,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul,,
Minor Pulses,0.69999999,8.5,0.0,183,2017,4,Haryana,110935,24676,5835,Ambala,1105.7457239999999,92.14547699999999
Minor Pulses,0.89999998,17.0,1.0,184,2017,4,Haryana,269227,53753,9657,Karnal,950.113308,79.176109
Minor Pulses,1.5,11.0,2.1300001,186,2017,4,Haryana,119225,31168,3532,Rohtak,794.4771479999999,66.206429
Minor Pulses,5.1900001,4.5100002,2.773,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur,688.9799995999999,57.41499996666666
