crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall,salinity_alkalinity_percent
Minor Pulses,9.5600004,7.3600001,1.5,129,2017,3,Gujarat,46817.0,29139.0,4865.0,Jamnagar,690.46998,57.539165,17.3893176
Minor Pulses,25.290001,28.68,9.78924999925,130,2017,3,Gujarat,64706.0,33437.0,7048.0,Junagadh,102.37001438140032,79.4382092709875,16.38507966
Minor Pulses,3.22,2.04,2.6289999,131,2017,3,Gujarat,128342.0,16619.0,7165.0,Kheda,534.837162536,44.56976354466667,8.393974429
Minor Pulses,3.79,2.8499999,0.5,135,2017,3,Gujarat,108519.0,54681.0,12824.0,Rajkot,814.130492019,67.84420766825001,0.471389363
Minor Pulses,22.969999,17.9,4.4000001,136,2017,3,Gujarat,81747.0,23767.0,14109.0,Sabarkantha,762.60680900148,79.4382092709875,22.935061564899996
Minor Pulses,10.18,7.3200002,7.3000002,137,2017,3,Gujarat,80074.0,30311.0,24577.5,Surat,1069.6900289,89.14083574166666,17.13575214
Minor Pulses,3.3299999,1.96,2.0,138,2017,3,Gujarat,83525.0,31749.0,2648.0,Surendranagar,877.4300019998001,73.11916683331667,40.158188706749996
Minor Pulses,138.81499772499998,75.172498675,0.46000001,139,2017,10,Rajasthan,10572.0,6290.0,62.0,Ajmer,523.70000111,43.64166675916667,27.88060649
Minor Pulses,0.43000001,1.02,0.41,140,2017,10,Rajasthan,37580.0,5713.0,1337.0,Alwar,552.47000972,46.03916747666667,0.81667436
Minor Pulses,14.08,12.87,3.467,141,2017,10,Rajasthan,32995.0,5817.0,500.0,Banswara,102.37001438140032,15.879725526609704,0.0
Minor Pulses,138.81499772499998,45.880001,3.5,142,2017,10,Rajasthan,12912.0,2366.0,281.0,Barmer,711.4000089,59.283334075,1.063863302
Minor Pulses,0.86000001,1.37,0.28,143,2017,10,Rajasthan,61795.0,20378.0,599.0,Bharatpur,482.69999052000003,40.22499921,1.399002977
Minor Pulses,121.88,33.77,6.6700001,144,2017,10,Rajasthan,22307.0,5226.0,239.0,Bhilwara,571.61000143,47.63416678583334,40.158188706749996
Minor Pulses,138.81499772499998,75.172498675,9.78924999925,145,2017,10,Rajasthan,22487.0,10645.0,232.0,Bikaner,303.1700092,25.26416743333333,1.039775124
Minor Pulses,138.81499772499998,75.172498675,5.46,146,2017,10,Rajasthan,40163.0,12315.0,382.0,Bundi,569.87999891,47.48999990916667,0.45908667
Minor Pulses,17.75,12.12,3.967,147,2017,10,Rajasthan,45171.0,17017.0,1479.0,Chittorgarh,601.61000613,50.1341671775,0.395399888
Minor Pulses,138.81499772499998,75.172498675,1.08,148,2017,10,Rajasthan,8065.0,1810.0,39.0,Churu,373.3200021,31.110000175,1.570908906
Minor Pulses,12.12,9.3400002,0.16,149,2017,10,Rajasthan,6142.0,858.0,73.0,Dungarpur,102.37001438140032,15.879725526609704,0.0
Minor Pulses,120.76,60.5,9.78924999925,150,2017,10,Rajasthan,137173.0,58094.0,5526.0,Ganganagar,464.3500098,38.69583415,2.28452903
Minor Pulses,138.81499772499998,72.0,9.5500002,151,2017,10,Rajasthan,60575.0,22655.0,1213.0,Jaipur,365.46999501,30.4558329175,11.70924672
Minor Pulses,59.970001,13.78,9.78924999925,152,2017,10,Rajasthan,7838.0,3190.0,82.0,Jaisalmer,245.40000083,20.450000069166666,0.69657652
Minor Pulses,138.81499772499998,39.880001,0.079999998,153,2017,10,Rajasthan,29682.0,6176.0,1501.0,Jalore,1358.5100019000001,113.20916682500001,23.49586326
