state,district,total_rainfall,average_rainfall
Manipur,Tamenglong,3161.61696,263.46808
Manipur,Tengnoupal,3115.6428000000005,259.6369
Manipur,Thoubal,3198.86568,266.57214
Manipur,Ukhrul,2408.3999999999996,200.69999999999996
Meghalaya,East Garo Hills,3120.0581999999995,260.00485
Meghalaya,East Jaintia Hills,9483.46284,790.28857
Meghalaya,East Khasi Hills,3993.30576,332.77548
Meghalaya,North Garo Hills,3120.0581999999995,260.00485
Meghalaya,Ri Bhoi,1918.7400000000002,159.895
Meghalaya,South Garo Hills,3576.30288,298.02524
Meghalaya,South West Garo Hills,4193.971439999999,349.4976199999999
Meghalaya,South West Khasi Hills,3311.38296,275.94858
Meghalaya,West Garo Hills,4193.971439999999,349.4976199999999
Meghalaya,West Jaintia Hills,9483.46284,790.28857
Meghalaya,West Khasi Hills,3311.38296,275.94858
Mizoram,Aizawl,1985.890008,165.490834
Mizoram,Champhai,2895.45999202,241.2883326683333
Mizoram,Hnahthial,3641.40998001,303.4508316675
Mizoram,Khawzawl,0.0,
Mizoram,Kolasib,2174.40000008,181.20000000666667
Mizoram,Lawngtlai,3639.88998299,303.3241652491667
Mizoram,Lunglei,3641.40998001,303.4508316675
Mizoram,Mamit,1838.86000023,153.2383333525
Mizoram,Saiha,4076.81008801,339.7341740008333
Mizoram,Saitual,0.0,
Mizoram,Serchhip,0.0,
Nagaland,Dimapur,0.0,
Nagaland,Kiphire,2330.8171199999997,194.23475999999997
Nagaland,Kohima,1907.6162399999998,158.96802
Nagaland,Longleng,3435.57132,286.29761
Nagaland,Mokokchung,2782.9143599999998,231.90953
Nagaland,Mon,2574.4114799999998,214.53428999999997
Nagaland,Noklak,2432.30652,202.69221000000002
Nagaland,Peren,2190.4686,182.53905
Nagaland,Phek,1944.462,162.0385
Nagaland,Tuensang,2432.30652,202.69221000000002
Nagaland,Wokha,2214.1942799999997,184.51618999999997
Nagaland,Zunheboto,2299.5256799999997,191.62713999999997
Odisha,Anugul,795.71999123,66.30999926916667
Odisha,Balangir,416.85000279999997,34.73750023333333
Odisha,Baleshwar,812.93998382,67.74499865166666
Odisha,Bargarh,644.2699971000001,53.689166425
Odisha,Bhadrak,785.0899911,65.424165925
Odisha,Boudh,693.4600087900001,57.78833406583334
Odisha,Cuttack,1223.1999913,101.93333260833333
Odisha,Deogarh,755.169976,62.93083133333334
